description,Maker_Model
"premium unleaded (required),MANUAL,all wheel drive,Factory Tuner,Performance,Compact,Sedan,Mitsubishi Lancer Evolution",Mitsubishi Lancer Evolution
"premium unleaded (required),AUTOMATED_MANUAL,all wheel drive,Factory Tuner,Performance,Compact,Sedan,Mitsubishi Lancer Evolution",Mitsubishi Lancer Evolution
"premium unleaded (required),MANUAL,all wheel drive,Factory Tuner,Performance,Compact,Sedan,Mitsubishi Lancer Evolution",Mitsubishi Lancer Evolution
"premium unleaded (required),MANUAL,all wheel drive,Factory Tuner,High-Performance,Compact,Sedan,Mitsubishi Lancer Evolution",Mitsubishi Lancer Evolution
"premium unleaded (required),MANUAL,all wheel drive,Factory Tuner,Performance,Compact,Sedan,Mitsubishi Lancer Evolution",Mitsubishi Lancer Evolution
"premium unleaded (required),AUTOMATED_MANUAL,all wheel drive,Factory Tuner,Performance,Compact,Sedan,Mitsubishi Lancer Evolution",Mitsubishi Lancer Evolution
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mitsubishi Lancer Sportback",Mitsubishi Lancer Sportback
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mitsubishi Lancer Sportback",Mitsubishi Lancer Sportback
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mitsubishi Lancer Sportback",Mitsubishi Lancer Sportback
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mitsubishi Lancer Sportback",Mitsubishi Lancer Sportback
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mitsubishi Lancer Sportback",Mitsubishi Lancer Sportback
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,Mitsubishi Lancer Sportback",Mitsubishi Lancer Sportback
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"premium unleaded (required),AUTOMATED_MANUAL,all wheel drive,Performance,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"regular unleaded,AUTOMATIC,all wheel drive,nan,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"regular unleaded,AUTOMATIC,all wheel drive,nan,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"regular unleaded,AUTOMATIC,all wheel drive,nan,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"regular unleaded,AUTOMATIC,all wheel drive,nan,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"regular unleaded,AUTOMATIC,all wheel drive,nan,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"regular unleaded,AUTOMATIC,all wheel drive,nan,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"regular unleaded,AUTOMATIC,all wheel drive,nan,Compact,Sedan,Mitsubishi Lancer",Mitsubishi Lancer
"regular unleaded,AUTOMATIC,four wheel drive,Luxury,Midsize,4dr SUV,Toyota Land Cruiser",Toyota Land Cruiser
"regular unleaded,AUTOMATIC,four wheel drive,Luxury,Midsize,4dr SUV,Toyota Land Cruiser",Toyota Land Cruiser
"regular unleaded,AUTOMATIC,four wheel drive,Luxury,Midsize,4dr SUV,Toyota Land Cruiser",Toyota Land Cruiser
"premium unleaded (required),AUTOMATIC,rear wheel drive,Exotic,Luxury,High-Performance,Large,Convertible,Maybach Landaulet",Maybach Landaulet
"premium unleaded (required),AUTOMATIC,rear wheel drive,Exotic,Luxury,Performance,Large,Convertible,Maybach Landaulet",Maybach Landaulet
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Plymouth Laser",Plymouth Laser
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Plymouth Laser",Plymouth Laser
"regular unleaded,MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Plymouth Laser",Plymouth Laser
"regular unleaded,MANUAL,all wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Plymouth Laser",Plymouth Laser
"regular unleaded,MANUAL,all wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Plymouth Laser",Plymouth Laser
"regular unleaded,MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Plymouth Laser",Plymouth Laser
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Plymouth Laser",Plymouth Laser
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Plymouth Laser",Plymouth Laser
"regular unleaded,MANUAL,all wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Plymouth Laser",Plymouth Laser
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Plymouth Laser",Plymouth Laser
"regular unleaded,MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Plymouth Laser",Plymouth Laser
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Plymouth Laser",Plymouth Laser
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Chrysler Le Baron",Chrysler Le Baron
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Sedan,Chrysler Le Baron",Chrysler Le Baron
"regular unleaded,UNKNOWN,front wheel drive,nan,Compact,Coupe,Chrysler Le Baron",Chrysler Le Baron
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Convertible,Chrysler Le Baron",Chrysler Le Baron
"regular unleaded,UNKNOWN,front wheel drive,nan,Compact,Convertible,Chrysler Le Baron",Chrysler Le Baron
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Coupe,Chrysler Le Baron",Chrysler Le Baron
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Sedan,Chrysler Le Baron",Chrysler Le Baron
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Chrysler Le Baron",Chrysler Le Baron
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Chrysler Le Baron",Chrysler Le Baron
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Sedan,Chrysler Le Baron",Chrysler Le Baron
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Sedan,Chrysler Le Baron",Chrysler Le Baron
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Chrysler Le Baron",Chrysler Le Baron
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Pontiac Le Mans",Pontiac Le Mans
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Pontiac Le Mans",Pontiac Le Mans
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Sedan,Pontiac Le Mans",Pontiac Le Mans
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Pontiac Le Mans",Pontiac Le Mans
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Sedan,Pontiac Le Mans",Pontiac Le Mans
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Pontiac Le Mans",Pontiac Le Mans
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Sedan,Pontiac Le Mans",Pontiac Le Mans
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Pontiac Le Mans",Pontiac Le Mans
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Coupe,Pontiac Le Mans",Pontiac Le Mans
"electric,DIRECT_DRIVE,front wheel drive,Hatchback,Compact,4dr Hatchback,Nissan Leaf",Nissan Leaf
"electric,DIRECT_DRIVE,front wheel drive,Hatchback,Compact,4dr Hatchback,Nissan Leaf",Nissan Leaf
"electric,DIRECT_DRIVE,front wheel drive,Hatchback,Compact,4dr Hatchback,Nissan Leaf",Nissan Leaf
"electric,DIRECT_DRIVE,front wheel drive,Hatchback,Compact,4dr Hatchback,Nissan Leaf",Nissan Leaf
"electric,DIRECT_DRIVE,front wheel drive,Hatchback,Compact,4dr Hatchback,Nissan Leaf",Nissan Leaf
"electric,DIRECT_DRIVE,front wheel drive,Hatchback,Compact,4dr Hatchback,Nissan Leaf",Nissan Leaf
"electric,DIRECT_DRIVE,front wheel drive,Hatchback,Compact,4dr Hatchback,Nissan Leaf",Nissan Leaf
"electric,DIRECT_DRIVE,front wheel drive,Hatchback,Compact,4dr Hatchback,Nissan Leaf",Nissan Leaf
"electric,DIRECT_DRIVE,front wheel drive,Hatchback,Compact,4dr Hatchback,Nissan Leaf",Nissan Leaf
"electric,DIRECT_DRIVE,front wheel drive,Hatchback,Compact,4dr Hatchback,Nissan Leaf",Nissan Leaf
"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,Performance,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,Performance,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,Performance,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,AUTOMATIC,all wheel drive,nan,Midsize,Sedan,Subaru Legacy",Subaru Legacy
"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Acura Legend",Acura Legend
"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Acura Legend",Acura Legend
"regular unleaded,MANUAL,front wheel drive,Luxury,Performance,Midsize,Coupe,Acura Legend",Acura Legend
"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Acura Legend",Acura Legend
"regular unleaded,MANUAL,front wheel drive,Luxury,Performance,Midsize,Coupe,Acura Legend",Acura Legend
"regular unleaded,MANUAL,front wheel drive,Luxury,Performance,Midsize,Coupe,Acura Legend",Acura Legend
"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Acura Legend",Acura Legend
"regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,Acura Legend",Acura Legend
"regular unleaded,MANUAL,front wheel drive,Luxury,Performance,Midsize,Sedan,Acura Legend",Acura Legend
"regular unleaded,MANUAL,front wheel drive,Luxury,Performance,Midsize,Coupe,Acura Legend",Acura Legend
"regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,Acura Legend",Acura Legend
"regular unleaded,MANUAL,front wheel drive,Luxury,Performance,Midsize,Coupe,Acura Legend",Acura Legend
"regular unleaded,MANUAL,front wheel drive,Luxury,Performance,Midsize,Coupe,Acura Legend",Acura Legend
"regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,Acura Legend",Acura Legend
"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Acura Legend",Acura Legend
"regular unleaded,MANUAL,front wheel drive,Luxury,Performance,Midsize,Sedan,Acura Legend",Acura Legend
"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Buick LeSabre",Buick LeSabre
"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Buick LeSabre",Buick LeSabre
"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Buick LeSabre",Buick LeSabre
"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Buick LeSabre",Buick LeSabre
"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Buick LeSabre",Buick LeSabre
"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Buick LeSabre",Buick LeSabre
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Exotic,Luxury,High-Performance,Large,4dr SUV,Maserati Levante",Maserati Levante
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Exotic,Luxury,Performance,Large,4dr SUV,Maserati Levante",Maserati Levante
"premium unleaded (required),AUTOMATED_MANUAL,rear wheel drive,Exotic,Luxury,High-Performance,Compact,Coupe,Lexus LFA",Lexus LFA
"regular unleaded,AUTOMATIC,front wheel drive,Performance,Large,Sedan,Chrysler LHS",Chrysler LHS
"regular unleaded,AUTOMATIC,front wheel drive,Performance,Large,Sedan,Chrysler LHS",Chrysler LHS
"premium unleaded (required),AUTOMATIC,front wheel drive,Performance,Large,Sedan,Chrysler LHS",Chrysler LHS
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Wagon,Subaru Loyale",Subaru Loyale
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Sedan,Subaru Loyale",Subaru Loyale
"regular unleaded,MANUAL,four wheel drive,nan,Compact,Wagon,Subaru Loyale",Subaru Loyale
"regular unleaded,MANUAL,four wheel drive,nan,Compact,Sedan,Subaru Loyale",Subaru Loyale
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Wagon,Subaru Loyale",Subaru Loyale
"regular unleaded,MANUAL,four wheel drive,nan,Compact,Wagon,Subaru Loyale",Subaru Loyale
"regular unleaded,MANUAL,front wheel drive,nan,Compact,Sedan,Subaru Loyale",Subaru Loyale
"regular unleaded,MANUAL,four wheel drive,nan,Compact,Sedan,Subaru Loyale",Subaru Loyale
"regular unleaded,MANUAL,four wheel drive,nan,Compact,Wagon,Subaru Loyale",Subaru Loyale
"premium unleaded (recommended),AUTOMATIC,all wheel drive,Crossover,Luxury,Compact,4dr SUV,Land Rover LR2",Land Rover LR2
"premium unleaded (recommended),AUTOMATIC,all wheel drive,Crossover,Luxury,Compact,4dr SUV,Land Rover LR2",Land Rover LR2
"premium unleaded (recommended),AUTOMATIC,all wheel drive,Crossover,Luxury,Compact,4dr SUV,Land Rover LR2",Land Rover LR2
"premium unleaded (recommended),AUTOMATIC,all wheel drive,Crossover,Luxury,Compact,4dr SUV,Land Rover LR2",Land Rover LR2
"premium unleaded (recommended),AUTOMATIC,all wheel drive,Crossover,Luxury,Compact,4dr SUV,Land Rover LR2",Land Rover LR2
"premium unleaded (recommended),AUTOMATIC,all wheel drive,Crossover,Luxury,Compact,4dr SUV,Land Rover LR2",Land Rover LR2
"premium unleaded (recommended),AUTOMATIC,all wheel drive,Crossover,Luxury,Compact,4dr SUV,Land Rover LR2",Land Rover LR2
"premium unleaded (recommended),AUTOMATIC,all wheel drive,Crossover,Luxury,Compact,4dr SUV,Land Rover LR2",Land Rover LR2
"premium unleaded (recommended),AUTOMATIC,all wheel drive,Crossover,Luxury,Compact,4dr SUV,Land Rover LR2",Land Rover LR2
"premium unleaded (required),AUTOMATIC,four wheel drive,Luxury,Midsize,4dr SUV,Land Rover LR3",Land Rover LR3
"premium unleaded (required),AUTOMATIC,four wheel drive,Luxury,Midsize,4dr SUV,Land Rover LR3",Land Rover LR3
"premium unleaded (required),AUTOMATIC,four wheel drive,Luxury,Midsize,4dr SUV,Land Rover LR3",Land Rover LR3
"premium unleaded (required),AUTOMATIC,four wheel drive,Luxury,Midsize,4dr SUV,Land Rover LR4",Land Rover LR4
"premium unleaded (required),AUTOMATIC,four wheel drive,Luxury,Midsize,4dr SUV,Land Rover LR4",Land Rover LR4
"premium unleaded (required),AUTOMATIC,four wheel drive,Luxury,Midsize,4dr SUV,Land Rover LR4",Land Rover LR4
"premium unleaded (required),AUTOMATIC,four wheel drive,Luxury,Midsize,4dr SUV,Land Rover LR4",Land Rover LR4
"premium unleaded (required),AUTOMATIC,four wheel drive,Luxury,Midsize,4dr SUV,Land Rover LR4",Land Rover LR4
"premium unleaded (required),AUTOMATIC,four wheel drive,Luxury,Midsize,4dr SUV,Land Rover LR4",Land Rover LR4
"premium unleaded (required),AUTOMATIC,four wheel drive,Luxury,Midsize,4dr SUV,Land Rover LR4",Land Rover LR4
"premium unleaded (required),AUTOMATIC,four wheel drive,Luxury,Midsize,4dr SUV,Land Rover LR4",Land Rover LR4
"premium unleaded (required),AUTOMATIC,four wheel drive,Luxury,Midsize,4dr SUV,Land Rover LR4",Land Rover LR4
"premium unleaded (required),AUTOMATIC,four wheel drive,Luxury,Midsize,4dr SUV,Land Rover LR4",Land Rover LR4
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Lexus LS 400",Lexus LS 400
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Lexus LS 400",Lexus LS 400
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Lexus LS 400",Lexus LS 400
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Large,Sedan,Lexus LS 430",Lexus LS 430
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Large,Sedan,Lexus LS 430",Lexus LS 430
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Large,Sedan,Lexus LS 430",Lexus LS 430
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Performance,Large,Sedan,Lexus LS 460",Lexus LS 460
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,High-Performance,Large,Sedan,Lexus LS 460",Lexus LS 460
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Large,Sedan,Lexus LS 460",Lexus LS 460
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Large,Sedan,Lexus LS 460",Lexus LS 460
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Performance,Large,Sedan,Lexus LS 460",Lexus LS 460
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Performance,Large,Sedan,Lexus LS 460",Lexus LS 460
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Performance,Large,Sedan,Lexus LS 460",Lexus LS 460
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Large,Sedan,Lexus LS 460",Lexus LS 460
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Large,Sedan,Lexus LS 460",Lexus LS 460
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Performance,Large,Sedan,Lexus LS 460",Lexus LS 460
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Performance,Large,Sedan,Lexus LS 460",Lexus LS 460
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Large,Sedan,Lexus LS 460",Lexus LS 460
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Large,Sedan,Lexus LS 460",Lexus LS 460
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Performance,Large,Sedan,Lexus LS 460",Lexus LS 460
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,High-Performance,Hybrid,Large,Sedan,Lexus LS 600h L",Lexus LS 600h L
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,High-Performance,Hybrid,Large,Sedan,Lexus LS 600h L",Lexus LS 600h L
"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,High-Performance,Hybrid,Large,Sedan,Lexus LS 600h L",Lexus LS 600h L
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,Lincoln LS",Lincoln LS
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,Lincoln LS",Lincoln LS
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,Lincoln LS",Lincoln LS
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,Lincoln LS",Lincoln LS
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,Lincoln LS",Lincoln LS
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,Lincoln LS",Lincoln LS
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,Lincoln LS",Lincoln LS
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,Lincoln LS",Lincoln LS
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,Lincoln LS",Lincoln LS
"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Midsize,Sedan,Lincoln LS",Lincoln LS
"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Lincoln LS",Lincoln LS
"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Oldsmobile LSS",Oldsmobile LSS
"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Oldsmobile LSS",Oldsmobile LSS
"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Oldsmobile LSS",Oldsmobile LSS
"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Oldsmobile LSS",Oldsmobile LSS
"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Oldsmobile LSS",Oldsmobile LSS
"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Oldsmobile LSS",Oldsmobile LSS
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Sedan,Ford LTD Crown Victoria",Ford LTD Crown Victoria
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Wagon,Ford LTD Crown Victoria",Ford LTD Crown Victoria
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Wagon,Ford LTD Crown Victoria",Ford LTD Crown Victoria
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Wagon,Ford LTD Crown Victoria",Ford LTD Crown Victoria
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Sedan,Ford LTD Crown Victoria",Ford LTD Crown Victoria
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Wagon,Ford LTD Crown Victoria",Ford LTD Crown Victoria
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Wagon,Ford LTD Crown Victoria",Ford LTD Crown Victoria
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Sedan,Ford LTD Crown Victoria",Ford LTD Crown Victoria
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Wagon,Ford LTD Crown Victoria",Ford LTD Crown Victoria
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Sedan,Ford LTD Crown Victoria",Ford LTD Crown Victoria
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Wagon,Ford LTD Crown Victoria",Ford LTD Crown Victoria
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Sedan,Ford LTD Crown Victoria",Ford LTD Crown Victoria
"regular unleaded,AUTOMATIC,rear wheel drive,nan,Large,Wagon,Ford LTD Crown Victoria",Ford LTD Crown Victoria
"premium unleaded (recommended),AUTOMATIC,front wheel drive,Factory Tuner,Performance,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"premium unleaded (recommended),AUTOMATIC,front wheel drive,Performance,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Large,Sedan,Buick Lucerne",Buick Lucerne
"premium unleaded (recommended),AUTOMATIC,front wheel drive,Performance,Large,Sedan,Buick Lucerne",Buick Lucerne
